Archivo,Etiqueta Real,Predicción
Berenjena 2_aug_1.wav,berenjena,camote
Berenjena 3_aug_2.wav,berenjena,camote
Berenjena 4_aug_2.wav,berenjena,camote
Berenjena 4_aug_5.wav,berenjena,zanahoria
Berenjena Clemente 1_aug_2.wav,berenjena,camote
Berenjena Clemente 1_aug_3.wav,berenjena,zanahoria
Berenjena Marcos 1_aug_1.wav,berenjena,zanahoria
Berenjena Marcos 1_aug_2.wav,berenjena,camote
Berenjena Marcos 1_aug_3.wav,berenjena,zanahoria
Berenjena Mario 1_aug_1.wav,berenjena,zanahoria
Berenjena Mario 2_aug_3.wav,berenjena,zanahoria
Camote 4_aug_1.wav,camote,papa
Camote 4_aug_2.wav,camote,papa
Camote 4_aug_5.wav,camote,papa
Camote Benja 1_aug_1.wav,camote,berenjena
Camote Benja 1_aug_3.wav,camote,berenjena
Camote Clemente 1_aug_1.wav,camote,berenjena
Camote Clemente 1_aug_2.wav,camote,berenjena
Camote Clemente 1_aug_3.wav,camote,zanahoria
Camote Clemente 1_aug_4.wav,camote,berenjena
Camote Clemente 1_aug_5.wav,camote,berenjena
Camote Marcos 1_aug_2.wav,camote,berenjena
Camote Marcos 1_aug_3.wav,camote,zanahoria
Camote Mario 1_aug_1.wav,camote,papa
Camote Mario 1_aug_3.wav,camote,papa
Camote Mario 2_aug_1.wav,camote,zanahoria
Camote Mario 2_aug_3.wav,camote,zanahoria
Camote_aug_1.wav,camote,papa
Papa Benja 1_aug_1.wav,papa,camote
Papa Benja 1_aug_2.wav,papa,zanahoria
Papa Benja 1_aug_4.wav,papa,zanahoria
Papa Clemente 1_aug_1.wav,papa,camote
Papa Clemente 1_aug_3.wav,papa,zanahoria
Papa Clemente 1_aug_4.wav,papa,camote
Papa Marcos 1_aug_2.wav,papa,camote
Papa Marcos 1_aug_3.wav,papa,zanahoria
Zanahoria 3_aug_2.wav,zanahoria,papa
Zanahoria 3_aug_3.wav,zanahoria,camote
Zanahoria 4_aug_2.wav,zanahoria,papa
Zanahoria 4_aug_5.wav,zanahoria,camote
Zanahoria Benja 1_aug_3.wav,zanahoria,papa
Zanahoria Benja 1_aug_5.wav,zanahoria,berenjena
Zanahoria Clemente 1_aug_1.wav,zanahoria,berenjena
Zanahoria Clemente 1_aug_2.wav,zanahoria,berenjena
Zanahoria Clemente 1_aug_3.wav,zanahoria,camote
Zanahoria Clemente 1_aug_4.wav,zanahoria,camote
Zanahoria Marcos 1_aug_1.wav,zanahoria,berenjena
Zanahoria Marcos 1_aug_2.wav,zanahoria,berenjena
Zanahoria Mario 2_aug_2.wav,zanahoria,camote
Zanahoria Mario 2_aug_3.wav,zanahoria,camote
